no;nama;kbli;latitude;longitude;alamat;prov_nama;prov_id;kako_nama;kako_id;kategori_kbli;kategori_nama;golongan_kbli;golongan_nama
327;PR Analisa Purnama Ningsih;10750;-1,1054812;113,8646801;Jl.Karya 1 Kelurahan Kurun Kec. Kurun Kab.Gunung Mas, Kurun, Kurun, Kabupaten Gunung Mas, Kalimantan Tengah;KALIMANTAN TENGAH;62;KABUPATEN GUNUNG MAS;6211;C;Industri Pengolahan;10;Industri Makanan
328;PR Ahmad Saprudin;10750;-2,1130545;115,1768148;Jalan Pramuka Komplek Perumnas Pondok Karet Blok G7, Tamiang Layang, Dusun Timur, Kabupaten Barito Timur, Kalimantan Tengah;KALIMANTAN TENGAH;62;KABUPATEN BARITO TIMUR;6212;C;Industri Pengolahan;10;Industri Makanan
329;PR Agustiningsih;10750;-1,2438477;116,8394967;Jl. Strat III NO.18 RT.12, Desa/Kelurahan Karang Rejo, Kec. Balikpapan Tengah, Kota Balikpapan, Provinsi Kalimantan Timur, Karang Rejo, Balikpapan Tengah, Kota Balikpapan, Kalimantan Timur;KALIMANTAN TIMUR;64;KABUPATEN MAHAKAM HULU;6411;C;Industri Pengolahan;10;Industri Makanan
330;PR Ade Puspita Haris;10750;-1,2471686;116,8328762;Jalan Karang Jati Dalam, Desa/Kelurahan Karang Jati, Kec. Balikpapan Tengah, Kota Balikpapan, Karang Jati, Balikpapan Tengah, Kota Balikpapan, Kalimantan Timur;KALIMANTAN TIMUR;64;KOTA BALIKPAPAN;6471;C;Industri Pengolahan;10;Industri Makanan
331;PR Agustinawati;10750;-1,2648291;116,8254934;Jl. Prapatan dalam Rt. 47 No. 44d, Telaga Sari, Balikpapan  Kota, Kota Balikpapan, Kalimantan Timur;KALIMANTAN TIMUR;64;KOTA BALIKPAPAN;6471;C;Industri Pengolahan;10;Industri Makanan
332;PR Agus Apriansyah;10750;2,8600075;117,3667186;Jalan Sabanar Lama, GG. Mengkudu, Tanjung Selor Hilir, Tanjung Selor, Kabupaten Bulungan, Kalimantan Utara;KALIMANTAN UTARA;65;KABUPATEN BULUNGAN;6502;C;Industri Pengolahan;10;Industri Makanan
333;PR Aisyah;10750;2,8314332;117,364497;JL. TENGKU UMAR, Tanjung Selor Hulu, Tanjung Selor, Kabupaten Bulungan, Kalimantan Utara;KALIMANTAN UTARA;65;KABUPATEN BULUNGAN;6502;C;Industri Pengolahan;10;Industri Makanan
334;PR Agustina Rante Manik;10750;4,1368696;117,6495094;JL. Bhayangkara RT. 011 No. 23, Nunukan Tengah, Nunukan, Kabupaten Nunukan, Kalimantan Utara;KALIMANTAN UTARA;65;KABUPATEN NUNUKAN;6504;C;Industri Pengolahan;10;Industri Makanan
335;PR Al Fatih;10750;-1,5746585;123,4915954;Jalan Lalong, Dodung, Banggai, Kabupaten Banggai Laut, Sulawesi Tengah;SULAWESI TENGAH;72;KABUPATEN BANGGAI LAUT;7211;C;Industri Pengolahan;10;Industri Makanan
336;PR Anny novita;10750;-3,9676112;122,5693567;Jl. P Diponegoro No. 90 B, Benu Benua, Kendari Barat, Kota Kendari, Sulawesi Tenggara;SULAWESI TENGGARA;74;KOTA KENDARI;7471;C;Industri Pengolahan;10;Industri Makanan
337;PR Cindarta Cening;10750;0,5916561;123,049423;Dusun 1, Desa/Kelurahan Hulawa, Kec. Telaga, Kab. Gorontalo, Provinsi Gorontalo, Hulawa, Telaga, Kabupaten Gorontalo, Gorontalo;GORONTALO;75;KABUPATEN GORONTALO;7502;C;Industri Pengolahan;10;Industri Makanan
338;PR Annisa Yunirizka Nusi;10750;0,5374957;123,0592925;Jalan Raja Eyato No 79, Molosipat W, Kota Barat, Kota Gorontalo, Gorontalo;GORONTALO;75;KOTA GORONTALO;7571;C;Industri Pengolahan;10;Industri Makanan
339;PR Fagogoru Home Industry;10750;0,7839641;127,3854211;Jl. Sultan Nuku, No. 14 Rt 001 / Rw 001, Tanah Raja, Kota Ternate Tengah, Kota Ternate, Maluku Utara;MALUKU UTARA;82;KOTA TERNATE;8271;C;Industri Pengolahan;10;Industri Makanan
340;PR Ainun Mau;10750;-0,9668985;131,0709802;Jl. Abdulah Arfan, Kampung Samate, Samate, Salawati Utara, Kabupaten Raja Ampat, Papua Barat Daya;PAPUA BARAT DAYA;92;KABUPATEN RAJA AMPAT;9201;C;Industri Pengolahan;10;Industri Makanan
341;PR Agustiranda;10761;4,2793391;95,9700399;Dusun Cot Kumbang, Blang Mee, Woyla, Kabupaten Aceh Barat, Nangroe Aceh Darussalam;ACEH;11;KABUPATEN ACEH BARAT;1107;C;Industri Pengolahan;10;Industri Makanan
342;CV Agro Aceh;10761;5,565002;95,3612435;Desa/Kelurahan Meunasah Papeun, Kec Krueng Barona Jaya, Kabupaten Aceh Besar, Meunasah  Papeun, Krueng Barona Jaya, Kabupaten Aceh Besar, Nangroe Aceh Darussalam;ACEH;11;KABUPATEN ACEH BESAR;1108;C;Industri Pengolahan;10;Industri Makanan
343;CV Agro Aceh;10761;5,5617005;95,3535993;Jln Geulumpang Dusun Puklat, Meunasah  Papeun, Krueng Barona Jaya, Kabupaten Aceh Besar, Nangroe Aceh Darussalam;ACEH;11;KABUPATEN ACEH BESAR;1108;C;Industri Pengolahan;10;Industri Makanan
344;PR Ansari Puteh;10761;5,2090497;96,7253164;Jln. Malikussaleh, Cot Gapu, Kota Juang, Kabupaten Bireuen, Nangroe Aceh Darussalam;ACEH;11;KABUPATEN BIREUEN;1110;C;Industri Pengolahan;10;Industri Makanan
345;UD Ab Coffee;10761;1,5187687;99,3076688;DUSUN RI NABOLAK, Kilang Papan, Sipirok, Kabupaten Tapanuli Selatan, Sumatera Utara;SUMATERA UTARA;12;KABUPATEN TAPANULI SELATAN;1203;C;Industri Pengolahan;10;Industri Makanan
346;PR Abdul Wahid Harahap;10761;1,522732;99,2203687;DUSUN AEK SABAON JULU, Aek Sabaon, Marancar, Kabupaten Tapanuli Selatan, Sumatera Utara;SUMATERA UTARA;12;KABUPATEN TAPANULI SELATAN;1203;C;Industri Pengolahan;10;Industri Makanan
347;PR Affrenton Oquin Sembiring;10761;2,6665857;98,9433583;"JL. SISINGAMANGARAJA, Parapat, Girsang Sipangan
Bolon, Kabupaten Simalungun, Sumatera Utara";SUMATERA UTARA;12;KABUPATEN SIMALUNGUN;1209;C;Industri Pengolahan;10;Industri Makanan
348;PR Adi Saputra Pandiangan;10761;2,2470671;98,6490584;sosor tambok, Sosor Tambok, Dolok Sanggul, Kabupaten Humbang Hasundutan, Sumatera Utara;SUMATERA UTARA;12;KABUPATEN HUMBANG HASUNDUTAN;1215;C;Industri Pengolahan;10;Industri Makanan
349;PR Abdullawali Harahap;10761;1,4543043;99,586822;DESA SIGAMA UJUNG GADING, Sigama Ujung Gading, Padang Bolak, Kabupaten Padang Lawas Utara, Sumatera Utara;SUMATERA UTARA;12;KABUPATEN PADANG LAWAS UTARA;1220;C;Industri Pengolahan;10;Industri Makanan
350;PR Abdul Rahman;10761;-0,9365493;100,7887231;Jorong Gantiang, Sirukam, Payung Sekaki, Kabupaten Solok, Sumatera Barat;SUMATERA BARAT;13;KABUPATEN SOLOK;1303;C;Industri Pengolahan;10;Industri Makanan
351;PR Aditya Arizona;10761;-0,5431599;100,2947665;TAROK KAPALO HILALANG, Kapalo Hilalang, 2x11 Kayu Tanam, Kabupaten Padang Pariaman, Sumatera Barat;SUMATERA BARAT;13;KABUPATEN PADANG PARIAMAN;1306;C;Industri Pengolahan;10;Industri Makanan
352;PR Abdul Azis;10761;-2,5668686;101,9747534;Rantau Suli, Rantau Suli, Jangkat Timur, Kabupaten Merangin, Jambi;JAMBI;15;KABUPATEN MERANGIN;1502;C;Industri Pengolahan;10;Industri Makanan
353;PR Ahmad Adiyaat Alqarni;10761;-2,0811258;101,3816788;Jl. Pelita, RT. 03, Desa Talang Lindung, Kecamatan Sungai Bungkal, Sungai Penuh, Sungai Penuh, Kota Sungai Penuh, Jambi;JAMBI;15;KOTA SUNGAI PENUH;1572;C;Industri Pengolahan;10;Industri Makanan
354;PR Apriadi Handoko;10761;-4,0224946;103,2533622;KOTA PAGAR ALAM, Basemah Sersan, Pagar Alam Selatan, Kota Pagar Alam, Sumatera Selatan;SUMATERA SELATAN;16;KOTA PAGAR ALAM;1673;C;Industri Pengolahan;10;Industri Makanan
355;PR Ahmad Gazali;10761;-4,7512789;103,3617756;Jl. Talang Tahaji Pondok Pusaka, Padang Petron, Kaur Selatan, Kabupaten Kaur, Bengkulu;BENGKULU;17;KABUPATEN KAUR;1704;C;Industri Pengolahan;10;Industri Makanan
356;PT Perorangan Anggi Dwi Cahyono Saputra;10761;-3,6459001;102,5883677;jl.sidodadi,ps ujung,kepahiang, Pasar Ujung, Kepahiang, Kabupaten Kepahiang, Bengkulu;BENGKULU;17;KABUPATEN KEPAHIANG;1708;C;Industri Pengolahan;10;Industri Makanan
357;UD ADRIA PUTRA;10761;-3,8119289;102,2698328;JL. Putri Gading Cempaka V RT.6 RW.2, Kelurahan Penurunan Kecamatan Ratu Samban, Penurunan, Ratu Samban, Kota Bengkulu, Bengkulu;BENGKULU;17;KOTA BENGKULU;1771;C;Industri Pengolahan;10;Industri Makanan
358;PR Akhmad Jumat Diwijaya;10761;-3,818313;102,3015996;Jl. Pepaya, Gang Jeruk 1 Blok III No. 78 Rt.007 Rw. 003, Lingkar Timur, Singaran Pati, Kota Bengkulu, Bengkulu;BENGKULU;17;KOTA BENGKULU;1771;C;Industri Pengolahan;10;Industri Makanan
359;PR Ari Setia Franata;10761;-4,8535411;104,5728414;Jalan Batu Raja, Lingkungan IV, RT/RW:004/005, Kel/Desa bukit kemuning Kecamatan bukit kemuning, Bukit Kemuning, Bukit Kemuning, Kabupaten Lampung Utara, Lampung;LAMPUNG;18;KABUPATEN LAMPUNG SELATAN;1803;C;Industri Pengolahan;10;Industri Makanan
360;PT Anjosia Corp Lampung;10761;-5,3946263;105,2043956;Jl. Gandaria Blok E8 No. 23 B, Lingkungan II, Beringin Raya, Kemiling, Kota Bandar Lampung, Lampung;LAMPUNG;18;KOTA BANDAR LAMPUNG;1871;C;Industri Pengolahan;10;Industri Makanan
361;PR Andry Kusuma;10761;-1,8880334;106,1024354;Komp.Mega Asri 2 Jl.Bukit Raya No.B5 RT.11, Bukit Betung, Sungailiat, Kabupaten Bangka, Kepulauan Bangka Belitung;BANGKA BELITUNG;19;KABUPATEN BANGKA;1901;C;Industri Pengolahan;10;Industri Makanan
362;PR Agus Hendra;10761;-2,743666;107,6688527;Jalan Murai Dalam No.110 RT.31/RW.10  Desa Aikraya, Aik Rayak, Tanjung Pandan, Kabupaten Belitung, Kepulauan Bangka Belitung;BANGKA BELITUNG;19;KABUPATEN BELITUNG;1902;C;Industri Pengolahan;10;Industri Makanan
363;PR Abdul Kamid;10761;-7,0138953;109,4996652;Dk Kesesi Kota, Kesesi, Kesesi, Kabupaten Pekalongan, Jawa Tengah;JAWA TENGAH;33;KABUPATEN PEKALONGAN;3326;C;Industri Pengolahan;10;Industri Makanan
364;PR Achid Bacharudin;10761;-7,919165;110,3629043;Sanggrahan RT 05 Canden, Canden, Jetis, Kabupaten Bantul, DI Yogyakarta;DAERAH ISTIMEWA YOGYAKARTA;34;KABUPATEN BANTUL;3402;C;Industri Pengolahan;10;Industri Makanan
365;PR Ali Ramzi;10761;-8,5407656;118,4623021;l. Kartini Lingkungan Magenda RT/RW 010/006, Bada, Dompu, Kabupaten Dompu, Nusa Tenggara Barat;NUSA TENGGARA BARAT;52;KABUPATEN DOMPU;5205;C;Industri Pengolahan;10;Industri Makanan
366;BUL Arif Beda;10761;-8,1994367;124,5929805;UPH PERKEBUNAN, Alim Mebung, Alor Tengah Utara, Kabupaten Alor, Nusa Tenggara Timur;NUSA TENGGARA TIMUR;53;KABUPATEN ALOR;5307;C;Industri Pengolahan;10;Industri Makanan
367;CV Angels Spirit;10761;-8,6282874;122,2312893;Jl. Dua Toru RT/RW: 003/03 Gang II, Beru, Alok Timur, Kabupaten Sikka, Nusa Tenggara Timur;NUSA TENGGARA TIMUR;53;KABUPATEN SIKKA;5310;C;Industri Pengolahan;10;Industri Makanan
368;PR Adrianus Dedje;10761;-8,7968543;120,972167;Ngalisabu, Bajawa, Bajawa, Kabupaten Ngada, Nusa Tenggara Timur;NUSA TENGGARA TIMUR;53;KABUPATEN NGADA;5312;C;Industri Pengolahan;10;Industri Makanan
369;PR AFRIANUS JEBAUT;10761;-8,4925531;119,8773157;PLN Pasar Baru, Gorontalo, Komodo, Kabupaten Manggarai Barat, Nusa Tenggara Timur;NUSA TENGGARA TIMUR;53;KABUPATEN MANGGARAI BARAT;5315;C;Industri Pengolahan;10;Industri Makanan
370;PR Ahmad Dahlan;10761;-8,4925531;119,8773157;Wae Mata, Gorontalo, Komodo, Kabupaten Manggarai Barat, Nusa Tenggara Timur;NUSA TENGGARA TIMUR;53;KABUPATEN MANGGARAI BARAT;5315;C;Industri Pengolahan;10;Industri Makanan
371;PR Adrianus Arshi Ompor;10761;-8,7522463;120,6142365;Golo Lada, Rana Loba, Borong, Kabupaten Manggarai Timur, Nusa Tenggara Timur;NUSA TENGGARA TIMUR;53;KABUPATEN MANGGARAI TIMUR;5319;C;Industri Pengolahan;10;Industri Makanan
372;PR Achmad Erlansyah Muzahidin;10761;-1,2229738;116,8957832;Balikpapan Regency Jalan Besakih XI Bk 24 RT 41, Sepinggan  Baru, Balikpapan Selatan, Kota Balikpapan, Kalimantan Timur;KALIMANTAN TIMUR;64;KOTA BALIKPAPAN;6471;C;Industri Pengolahan;10;Industri Makanan
373;PR Baada Mokoginta;10761;0,7815456;124,3171552;dusun I, Bilalang Baru, Bilalang, Kabupaten Bolaang Mongondow, Sulawesi Utara;SULAWESI UTARA;71;KABUPATEN BOLAANG MONGONDOW;7101;C;Industri Pengolahan;10;Industri Makanan
374;CV Agro Harapan Mandiri;10761;-4,510423;119,771986;TOMPO LEMO LEMO, Harapan, Tanete Riaja, Kabupaten Barru, Sulawesi Selatan;SULAWESI SELATAN;73;KABUPATEN BARRU;7310;C;Industri Pengolahan;10;Industri Makanan
375;PR Agnes Tukku;10761;-2,990659;119,7831356;Sarong Manik, Bambalu, Kurra, Kabupaten Tana Toraja, Sulawesi Selatan;SULAWESI SELATAN;73;KABUPATEN TANA TORAJA;7318;C;Industri Pengolahan;10;Industri Makanan
376;PR Ade Sri Rahayu;10761;-5,0855154;119,5337405;Jl Asrama Haji Sudiang, Sudiang, Biringkanaya, Kota Makassar, Sulawesi Selatan;SULAWESI SELATAN;73;KOTA MAKASSAR;7371;C;Industri Pengolahan;10;Industri Makanan
377;PR Amsyah Muzakir;10761;-3,9950157;122,5182433;JLN. LUMBA-LUMBA, Lalolara, Kambu, Kota Kendari, Sulawesi Tenggara;SULAWESI TENGGARA;74;KOTA KENDARI;7471;C;Industri Pengolahan;10;Industri Makanan
378;PR Budi Santoso Wattimena;10761;-2,6556472;140,8045598;Jalan Wamena Perumahan Apernas Blok B no.1, Koya Barat, Muara Tami, Kota Jayapura, Papua;PAPUA;94;KOTA JAYAPURA;9471;C;Industri Pengolahan;10;Industri Makanan
379;PR Faisal Muhammad Rapid;10761;-3,3573075;135,5061308;Jl Samratulangi, Oyehe, Nabire, Kabupaten Nabire, Papua Tengah;PAPUA TENGAH;96;KABUPATEN NABIRE;9604;C;Industri Pengolahan;10;Industri Makanan
380;PR Aseni;10762;-3,7028914;102,2719604;DESA PASAR PEDATI, Pasar Pedati, Pondok Kelapa, Kabupaten Bengkulu Tengah, Bengkulu;BENGKULU;17;KABUPATEN BENGKULU TENGAH;1709;C;Industri Pengolahan;10;Industri Makanan
381;PR Antonius Anton;10762;-9,3660663;124,3920876;Napan RT.RW.004/002, Napan, Bikomi Utara, Kabupaten Timor Tengah Utara, Nusa Tenggara Timur;NUSA TENGGARA TIMUR;53;KABUPATEN TIMOR TENGAH UTARA;5305;C;Industri Pengolahan;10;Industri Makanan
382;PR Agustine Herbal Dayak;10762;-0,6202002;114,5895968;JL. SARIPOI-PURUK CAHU NO. 41, Saripoi, Tanah Siang, Kabupaten Murung Raya, Kalimantan Tengah;KALIMANTAN TENGAH;62;KABUPATEN MURUNG RAYA;6213;C;Industri Pengolahan;10;Industri Makanan
383;PR Anshar;10762;-4,9486469;122,4608775;Desa Lupia Kecamatan Kabangka Kabupaten Muna Sulawesi Tenggara, Lupia, Kabangka, Kabupaten Muna, Sulawesi Tenggara;SULAWESI TENGGARA;74;KABUPATEN MUNA;7402;C;Industri Pengolahan;10;Industri Makanan
384;PR Anak Agung Ngurah Dwi Darma Eka Putra;10771;-8,6324724;115,190651;Jalan gunung catur no 9x denpasar, padangsambian kaja, denpasar barat, Kota Denpasar, Bali;BALI;51;KOTA DENPASAR;5171;C;Industri Pengolahan;10;Industri Makanan
385;PT Abro Prima Makmur;10772;-0,5936496;100,1418511;Jalan Kayu Belanti, Kelurahan Koto Marapak, Kecamatan Pariaman Timur, Kota Pariaman, Provinsi Sumatera Barat, Koto Marapak, Pariaman Timur, Kota Pariaman, Sumatera Barat;SUMATERA BARAT;13;KOTA PARIAMAN;1377;C;Industri Pengolahan;10;Industri Makanan
386;PR Abdul Rauf;10772;-8,2923579;116,274599;Jalan raya santong RT 2 RW 002, Dangiang, Kayangan, Kabupaten Lombok Utara, Nusa Tenggara Barat;NUSA TENGGARA BARAT;52;KABUPATEN LOMBOK UTARA;5208;C;Industri Pengolahan;10;Industri Makanan
387;PR Ami Prihatini;10772;-2,5902437;115,3770907;Jl. Ir. P.H.M. Noor Rt. 04 Rw. 2, Barabai Barat, Barabai, Kabupaten Hulu Sungai Tengah, Kalimantan Selatan;KALIMANTAN SELATAN;63;KABUPATEN HULU SUNGAI TENGAH;6307;C;Industri Pengolahan;10;Industri Makanan
388;PT Adore Rempah Indonesia;10772;1,0579067;124,6537127;Desa lobu satu kecamatan touluaan kabupaten Minahasa tenggara, Lobu Satu, Touluaan, Kabupaten Minahasa Tenggara, Sulawesi Utara;SULAWESI UTARA;71;KABUPATEN MINAHASA TENGGARA;7109;C;Industri Pengolahan;10;Industri Makanan
389;PR Achmad Teguh Saputro Z;10772;-5,1859754;119,4881122;Komp. Berlian Permai Blok A4/7, Tamangapa, Manggala, Kota Makassar, Sulawesi Selatan;SULAWESI SELATAN;73;KOTA MAKASSAR;7371;C;Industri Pengolahan;10;Industri Makanan
390;PR Adibah Sentosa;10772;-4,8234237;122,7264459;Jln. Tengiri, Laiworu, Batalaiwaru, Kabupaten Muna, Sulawesi Tenggara;SULAWESI TENGGARA;74;KABUPATEN MUNA;7402;C;Industri Pengolahan;10;Industri Makanan
391;CV Agrindo Suprafood;10773;-7,8511518;110,4217401;Dsn. Pedukuhan Kretek Kidul RT. 02, Jambidan, Banguntapan, Kabupaten Bantul, DI Yogyakarta;DAERAH ISTIMEWA YOGYAKARTA;34;KABUPATEN BANTUL;3402;C;Industri Pengolahan;10;Industri Makanan
392;PR Arya Krisna Nusantara;10773;0,7467884;124,3463031;JL.RAYA MOYAG, RT 007, RW 003, Moyag Tampoan, Kotamobagu Timur, Kota Kotamobagu, Sulawesi Utara;SULAWESI UTARA;71;KOTA KOTAMOBAGU;7174;C;Industri Pengolahan;10;Industri Makanan
393;PT Agro Manunggal Cocos;10773;-0,772362;119,8629578;Jl. Baruga RT/RW 03/01, Blok Kabaiya Barat, Taipa, Palu Utara, Kota Palu, Sulawesi Tengah;SULAWESI TENGAH;72;KOTA PALU;7271;C;Industri Pengolahan;10;Industri Makanan
394;CV Abadi;10774;-3,830255;102,3149258;Jalan Hibrida No. 51, Pagar Dewa, Selebar, Kota Bengkulu, Bengkulu;BENGKULU;17;KOTA BENGKULU;1771;C;Industri Pengolahan;10;Industri Makanan
395;PR Agung Ayu Ketut Tariawati;10774;-8,4249322;114,8864193;Banjar Serong, Gumbrih, Pekutatan, Kabupaten Jembrana, Bali;BALI;51;KABUPATEN JEMBRANA;5101;C;Industri Pengolahan;10;Industri Makanan
396;PR Agustinus Bana;10774;-9,4169576;124,4686315;Nunpene RT/RW.009/003, Oesena, Miomafo Timur, Kabupaten Timor Tengah Utara, Nusa Tenggara Timur;NUSA TENGGARA TIMUR;53;KABUPATEN TIMOR TENGAH UTARA;5305;C;Industri Pengolahan;10;Industri Makanan
397;CV Amalia Mandiri Utama;10774;-2,7768567;115,2689412;Jl. Pahlawan No. 07 RT/RW : 008/004, Kandangan Utara, Kandangan, Kabupaten Hulu Sungai Selatan, Kalimantan Selatan;KALIMANTAN SELATAN;63;KABUPATEN HULU SUNGAI SELATAN;6306;C;Industri Pengolahan;10;Industri Makanan
398;PR Amma Kitchen;10779;-2,9113268;104,7709564;Komplek Afila Permai Blok C no. 5 Kenten Laut, Kenten, Talang Kelapa, Kabupaten Banyu Asin, Sumatera Selatan;SUMATERA SELATAN;16;KABUPATEN BANYU ASIN;1607;C;Industri Pengolahan;10;Industri Makanan
399;PR Adzkia Safitri;10779;-2,92989;104,68439;Komplek Citra Grand City blok D 10 no 8, Talang Kelapa, Alang-alang Lebar, Kota Palembang, Sumatera Selatan;SUMATERA SELATAN;16;KOTA PALEMBANG;1671;C;Industri Pengolahan;10;Industri Makanan
400;PR Abon Ibu Muslimah Lathiifa;10779;-7,7232813;110,4157013;Krandon No 32 RT 04 RW 52 Kel. Wedomartani Kec. Ngemplak Kab. Sleman, Wedomartani, Ngemplak, Kabupaten Sleman, DI Yogyakarta;DAERAH ISTIMEWA YOGYAKARTA;34;KABUPATEN SLEMAN;3404;C;Industri Pengolahan;10;Industri Makanan
401;PR Abdul Karim;10779;-1,2481455;109,9524446;Jl. Tanah Merah, Sutera, Sukadana, Kabupaten Kayong Utara, Kalimantan Barat;KALIMANTAN BARAT;61;KABUPATEN KAYONG UTARA;6111;C;Industri Pengolahan;10;Industri Makanan
402;PR Ahmad Jais;10779;-1,3478544;116,6722206;Desa Girimukti Start.7 Rt.6 No.25 Kec. Penajam, Giri Mukti, Penajam, Kabupaten Penajam Paser Utara, Kalimantan Timur;KALIMANTAN TIMUR;64;KABUPATEN PENAJAM PASER UTARA;6409;C;Industri Pengolahan;10;Industri Makanan
403;PR Alfian Firmansyah;10779;-1,2597194;116,8791234;Perum BDS 2 Blok J1 No.36 Kelurahan Sungai Nangka Kecamatan Balikpapan Selatan Kota Balikpapan Kalimantan Timur, Sungainangka, Balikpapan Selatan, Kota Balikpapan, Kalimantan Timur;KALIMANTAN TIMUR;64;KOTA BALIKPAPAN;6471;C;Industri Pengolahan;10;Industri Makanan
404;PR Abdi Yansyah.y;10779;3,366667;117,15;BANDAN BIKIS RT.001 / RW. 000, Bandan Bikis, Sesayap Hilir, Kabupaten Tana Tidung, Kalimantan Utara;KALIMANTAN UTARA;65;KABUPATEN TANA TIDUNG;6503;C;Industri Pengolahan;10;Industri Makanan
405;PR Aisyah Vhike Tewuh;10779;1,4671779;124,9293358;Kalawat Jaga 3, Desa/Kelurahan Kalawat, Kec. Kalawat, Kab. Minahasa Utara, Provinsi Sulawesi Utara Kode Pos: 95378, Kalawat, Kalawat, Kabupaten Minahasa Utara, Sulawesi Utara;SULAWESI UTARA;71;KABUPATEN MINAHASA UTARA;7106;C;Industri Pengolahan;10;Industri Makanan
406;PR Ansye Christien Lucas;10779;1,4932343;124,8498724;Kel. Tingkulu Lingkungan VII No. 55, Tingkulu, Wanea, Kota Manado, Sulawesi Utara;SULAWESI UTARA;71;KOTA MANADO;7171;C;Industri Pengolahan;10;Industri Makanan
407;PT Adinata;10779;-5,2190769;119,4479339;JL DATO GAPPA NO 16, Mangalli, Palangga, Kabupaten Gowa, Sulawesi Selatan;SULAWESI SELATAN;73;KABUPATEN GOWA;7306;C;Industri Pengolahan;10;Industri Makanan
408;PR Afrimon;10792;-1,3447921;100,5782687;Perumnas Hannah Syariah Lestari No. 25, Salido, IV Jurai, Kabupaten Pesisir Selatan, Sumatera Barat;SUMATERA BARAT;13;KABUPATEN PESISIR SELATAN;1302;C;Industri Pengolahan;10;Industri Makanan
409;PR Ana Nur Eka Prapti, SH;10792;0,7151427;100,5296728;SIMPANG PANIK, Ujung Batu, Ujung Batu, Kabupaten Rokan Hulu, Riau;RIAU;14;KABUPATEN ROKAN HULU;1407;C;Industri Pengolahan;10;Industri Makanan
410;PR Abu Zain Kitchen;10792;0,5681023;101,4654048;jl. limbungan gg. pisang 1, Limbungan, Rumbai, Kota Pekanbaru, Riau;RIAU;14;KOTA PEKANBARU;1471;C;Industri Pengolahan;10;Industri Makanan
411;PR Agus Mariyanto;10792;-1,4352144;102,3581915;JL. MARGODADI, Desa Teluk Singkawang Kec. Sumay Kab. Tebo, Teluk Singkawang, Sumay, Kabupaten Tebo, Jambi;JAMBI;15;KABUPATEN TEBO;1508;C;Industri Pengolahan;10;Industri Makanan
412;PR Amriyani;10792;-2,5453678;101,1334267;Jln Fatmawati, Ujung Padang, Kota Mukomuko, Kabupaten Mukomuko, Bengkulu;BENGKULU;17;KABUPATEN MUKOMUKO;1706;C;Industri Pengolahan;10;Industri Makanan
413;PR Ammy Cha Bakery;10792;-3,7028914;102,2719604;Pasar Pedati, Pasar Pedati, Pondok Kelapa, Kabupaten Bengkulu Tengah, Bengkulu;BENGKULU;17;KABUPATEN BENGKULU TENGAH;1709;C;Industri Pengolahan;10;Industri Makanan
414;PR Aa Food;10792;-2,0664121;105,1842609;Jl Saringan E31 komplek PUSMET RT 01 RW 02, Sungai Baru, Muntok, Kabupaten Bangka Barat, Kepulauan Bangka Belitung;BANGKA BELITUNG;19;KABUPATEN BANGKA BARAT;1903;C;Industri Pengolahan;10;Industri Makanan
415;PR Aak Yang;10792;-2,0678947;105,165824;Kampung teluk Rubiah RT 002 Rw 006, Tanjung, Muntok, Kabupaten Bangka Barat, Kepulauan Bangka Belitung;BANGKA BELITUNG;19;KABUPATEN BANGKA BARAT;1903;C;Industri Pengolahan;10;Industri Makanan
416;PR Alamandha;10792;-2,0608119;105,1604327;Kampung Keranggan Tengah, Tanjung, Muntok, Kabupaten Bangka Barat, Kepulauan Bangka Belitung;BANGKA BELITUNG;19;KABUPATEN BANGKA BARAT;1903;C;Industri Pengolahan;10;Industri Makanan
417;PR Aneka Kue Basah;10792;-1,880763;105,668503;Kelapa, Kelapa, Kelapa, Kabupaten Bangka Barat, Kepulauan Bangka Belitung;BANGKA BELITUNG;19;KABUPATEN BANGKA BARAT;1903;C;Industri Pengolahan;10;Industri Makanan
418;PR Ade Lestari;10792;-2,9005494;108,2176431;Dusun Manggarawan RT.002 RW.001, Padang, Manggar, Kabupaten Belitung Timur, Kepulauan Bangka Belitung;BANGKA BELITUNG;19;KABUPATEN BELITUNG TIMUR;1906;C;Industri Pengolahan;10;Industri Makanan
419;PR Adetiya Pertiwi;10792;-2,8630391;108,2881709;Dusun Arab II RT 22 RW 11, Kurnia Jaya, Manggar, Kabupaten Belitung Timur, Kepulauan Bangka Belitung;BANGKA BELITUNG;19;KABUPATEN BELITUNG TIMUR;1906;C;Industri Pengolahan;10;Industri Makanan
420;PR Agustinah;10792;0,9333396;104,5213787;Perum Buit Raya Blok AnjasMoro No 49, Pinang Kencana, Tanjung Pinang Timur, Kota Tanjung Pinang, Kepulauan Riau;KEPULAUAN RIAU;21;KOTA TANJUNG PINANG;2172;C;Industri Pengolahan;10;Industri Makanan
421;PR Aikomi Cakery;10792;0,9170936;104,4463638;Jl Patimura No 27 C Rt 003/Rw 008, Tanjung Pinang Barat, Tanjung Pinang Barat, Kota Tanjung Pinang, Kepulauan Riau;KEPULAUAN RIAU;21;KOTA TANJUNG PINANG;2172;C;Industri Pengolahan;10;Industri Makanan
